t_ms,mx,my,mz,B
1712,-349,-209,-999,1078.65
1812,-350,-208,-1001,1080.63
1912,-350,-207,-1001,1080.44
2012,-350,-207,-1001,1080.44
2112,-350,-207,-999,1078.59
2212,-349,-208,-1000,1079.38
2312,-350,-207,-999,1078.59
2412,-351,-208,-1000,1080.03
2512,-349,-208,-1001,1080.31
2612,-349,-208,-1000,1079.38
2712,-350,-209,-1000,1079.90
2812,-350,-208,-1000,1079.71
2912,-350,-207,-1000,1079.51
3012,-350,-207,-1000,1079.51
3112,-350,-207,-999,1078.59
3212,-350,-209,-999,1078.97
3312,-350,-208,-1000,1079.71
3412,-351,-207,-1000,1079.84
3512,-349,-207,-1000,1079.19
3612,-350,-207,-1001,1080.44
3712,-350,-207,-1000,1079.51
3812,-350,-209,-1001,1080.82
3912,-350,-209,-1001,1080.82
4012,-349,-207,-999,1078.26
4112,-349,-208,-1001,1080.31
4212,-349,-208,-1000,1079.38
4312,-351,-207,-1000,1079.84
4412,-350,-208,-1000,1079.71
4512,-350,-208,-1000,1079.71
4612,-350,-208,-999,1078.78
4712,-350,-208,-999,1078.78
4812,-350,-207,-999,1078.59
4912,-349,-208,-1000,1079.38
5012,-350,-207,-997,1076.73
5112,-350,-209,-1000,1079.90
5212,-351,-208,-999,1079.10
5312,-350,-208,-1000,1079.71
5412,-349,-208,-1001,1080.31
5512,-350,-208,-999,1078.78
5612,-350,-208,-1000,1079.71
5712,-350,-208,-999,1078.78
5812,-351,-207,-1000,1079.84
5912,-351,-209,-1000,1080.22
6012,-349,-208,-1001,1080.31
6112,-350,-208,-1001,1080.63
6212,-349,-207,-1000,1079.19
6312,-349,-208,-1000,1079.38
6412,-351,-209,-999,1079.30
6512,-349,-207,-1000,1079.19
6612,-350,-208,-1000,1079.71
6712,-351,-208,-998,1078.18
6812,-350,-208,-1000,1079.71
6912,-349,-209,-1001,1080.50
7012,-350,-208,-1000,1079.71
7112,-349,-209,-1000,1079.57
7212,-349,-209,-1001,1080.50
7312,-351,-208,-1000,1080.03
7412,-349,-208,-999,1078.46
7512,-350,-209,-1000,1079.90
7612,-350,-208,-1000,1079.71
7712,-349,-207,-1001,1080.12
7812,-349,-208,-999,1078.46
7912,-351,-208,-1000,1080.03
8012,-350,-206,-999,1078.40
8112,-350,-207,-1000,1079.51
8212,-350,-209,-1000,1079.90
8312,-350,-207,-999,1078.59
8412,-350,-207,-1001,1080.44
8512,-350,-209,-1000,1079.90
8612,-350,-207,-998,1077.66
8712,-350,-209,-999,1078.97
8812,-350,-209,-998,1078.05
8912,-351,-207,-1000,1079.84
9012,-351,-208,-999,1079.10
9112,-350,-208,-1001,1080.63
9212,-350,-210,-1001,1081.02
9312,-350,-208,-1001,1080.63
9412,-350,-207,-999,1078.59
9512,-351,-208,-999,1079.10
9612,-349,-207,-1001,1080.12
9712,-349,-208,-1000,1079.38
9812,-350,-208,-1001,1080.63
9912,-351,-209,-999,1079.30
10012,-350,-208,-1001,1080.63
10112,-351,-208,-1000,1080.03
10212,-351,-207,-999,1078.91
10312,-351,-208,-1000,1080.03
10412,-350,-208,-999,1078.78
10512,-349,-208,-1000,1079.38
10612,-351,-208,-999,1079.10
10712,-351,-207,-998,1077.99
10812,-350,-208,-1001,1080.63
10912,-350,-208,-999,1078.78
11012,-350,-208,-999,1078.78
11112,-351,-208,-1000,1080.03
11212,-350,-208,-1000,1079.71
11312,-350,-209,-1001,1080.82
11412,-349,-207,-999,1078.26
11512,-351,-207,-1000,1079.84
11612,-350,-209,-999,1078.97
11712,-349,-208,-1000,1079.38
11812,-350,-207,-1000,1079.51
11912,-349,-208,-1001,1080.31
12012,-350,-207,-1002,1081.37
12112,-349,-209,-999,1078.65
12212,-350,-207,-1000,1079.51
12312,-351,-207,-1001,1080.76
12412,-350,-208,-1000,1079.71
12512,-350,-207,-999,1078.59
12612,-350,-208,-1000,1079.71
12712,-351,-207,-1001,1080.76
12812,-350,-208,-999,1078.78
12912,-350,-208,-1001,1080.63
13012,-350,-208,-999,1078.78
13112,-349,-207,-1001,1080.12
13212,-350,-208,-1000,1079.71
13312,-349,-208,-1000,1079.38
13412,-350,-208,-999,1078.78
13512,-350,-208,-999,1078.78
13612,-350,-208,-1001,1080.63
13712,-350,-208,-998,1077.85
13812,-349,-209,-1000,1079.57
13912,-350,-208,-1000,1079.71
14012,-350,-208,-999,1078.78
14112,-351,-208,-1002,1081.88
14212,-349,-209,-999,1078.65
14312,-350,-208,-1001,1080.63
14412,-350,-208,-999,1078.78
14512,-351,-206,-999,1078.72
14612,-350,-207,-999,1078.59
14712,-351,-207,-1000,1079.84
14812,-351,-206,-999,1078.72
14912,-350,-208,-999,1078.78
15012,-350,-207,-999,1078.59
15112,-350,-208,-999,1078.78
