t_ms,mx,my,mz,B,fx,fy,fz,Bf
1722,-351,-92,-982,1046.89,-351.00,-92.00,-982.00,1046.89
1822,-352,-90,-982,1047.06,-351.20,-91.60,-982.00,1046.93
1922,-351,-91,-982,1046.81,-351.16,-91.48,-982.00,1046.90
2022,-351,-91,-982,1046.81,-351.13,-91.38,-982.00,1046.88
2122,-351,-90,-982,1046.72,-351.10,-91.11,-982.00,1046.85
2222,-352,-91,-982,1047.14,-351.28,-91.09,-982.00,1046.91
2322,-350,-91,-982,1046.47,-351.03,-91.07,-982.00,1046.82
2422,-351,-91,-984,1048.68,-351.02,-91.05,-982.40,1047.19
2522,-352,-90,-981,1046.12,-351.22,-90.84,-982.12,1046.98
2622,-350,-89,-981,1045.36,-350.97,-90.48,-981.90,1046.66
2722,-351,-90,-981,1045.78,-350.98,-90.38,-981.72,1046.48
2822,-352,-91,-982,1047.14,-351.18,-90.50,-981.77,1046.61
2922,-351,-91,-983,1047.75,-351.15,-90.60,-982.02,1046.84
3022,-350,-90,-981,1045.45,-350.92,-90.48,-981.82,1046.56
3122,-351,-91,-983,1047.75,-350.93,-90.59,-982.05,1046.80
3222,-351,-90,-982,1046.72,-350.95,-90.47,-982.04,1046.78
3322,-351,-90,-982,1046.72,-350.96,-90.38,-982.03,1046.77
3422,-351,-90,-981,1045.78,-350.97,-90.30,-981.83,1046.57
3522,-350,-90,-982,1046.39,-350.77,-90.24,-981.86,1046.54
3622,-351,-89,-982,1046.64,-350.82,-89.99,-981.89,1046.56
3722,-351,-91,-981,1045.87,-350.85,-90.19,-981.71,1046.42
3822,-351,-90,-982,1046.72,-350.88,-90.15,-981.77,1046.48
3922,-350,-90,-981,1045.45,-350.71,-90.12,-981.62,1046.27
4022,-352,-90,-982,1047.06,-350.97,-90.10,-981.69,1046.43
4122,-351,-89,-981,1045.70,-350.97,-89.88,-981.55,1046.28
4222,-350,-90,-981,1045.45,-350.78,-89.90,-981.44,1046.12
4322,-351,-91,-982,1046.81,-350.82,-90.12,-981.55,1046.25
4422,-351,-91,-982,1046.81,-350.86,-90.30,-981.64,1046.36
4522,-350,-90,-983,1047.32,-350.69,-90.24,-981.91,1046.56
4622,-351,-90,-981,1045.78,-350.75,-90.19,-981.73,1046.40
4722,-351,-89,-983,1047.57,-350.80,-89.95,-981.99,1046.64
4822,-351,-91,-983,1047.75,-350.84,-90.16,-982.19,1046.86
4922,-351,-91,-982,1046.81,-350.87,-90.33,-982.15,1046.85
5022,-351,-91,-981,1045.87,-350.90,-90.46,-981.92,1046.65
5122,-351,-90,-982,1046.72,-350.92,-90.37,-981.94,1046.67
5222,-351,-90,-982,1046.72,-350.93,-90.30,-981.95,1046.68
5322,-351,-90,-982,1046.72,-350.95,-90.24,-981.96,1046.69
5422,-351,-90,-981,1045.78,-350.96,-90.19,-981.77,1046.51
5522,-350,-91,-982,1046.47,-350.77,-90.35,-981.81,1046.50
5622,-352,-91,-983,1048.08,-351.01,-90.48,-982.05,1046.82
5722,-351,-90,-983,1047.66,-351.01,-90.39,-982.24,1046.98
5822,-352,-91,-981,1046.21,-351.21,-90.51,-981.99,1046.83
5922,-351,-91,-982,1046.81,-351.17,-90.61,-981.99,1046.82
6022,-350,-91,-982,1046.47,-350.93,-90.69,-982.00,1046.75
6122,-351,-90,-982,1046.72,-350.95,-90.55,-982.00,1046.75
6222,-351,-91,-982,1046.81,-350.96,-90.64,-982.00,1046.76
6322,-351,-90,-982,1046.72,-350.97,-90.51,-982.00,1046.75
6422,-352,-90,-983,1047.99,-351.17,-90.41,-982.20,1047.00
6522,-351,-90,-982,1046.72,-351.14,-90.33,-982.16,1046.94
6622,-352,-91,-983,1048.08,-351.31,-90.46,-982.33,1047.17
6722,-351,-92,-982,1046.89,-351.25,-90.77,-982.26,1047.12
6822,-351,-91,-982,1046.81,-351.20,-90.82,-982.21,1047.05
6922,-351,-91,-982,1046.81,-351.16,-90.85,-982.17,1047.01
7022,-350,-90,-982,1046.39,-350.93,-90.68,-982.13,1046.88
7122,-351,-91,-982,1046.81,-350.94,-90.75,-982.11,1046.87
7222,-352,-90,-981,1046.12,-351.15,-90.60,-981.89,1046.72
7322,-351,-92,-982,1046.89,-351.12,-90.88,-981.91,1046.75
7422,-351,-91,-983,1047.75,-351.10,-90.90,-982.13,1046.95
7522,-351,-91,-982,1046.81,-351.08,-90.92,-982.10,1046.92
7622,-351,-92,-983,1047.83,-351.06,-91.14,-982.28,1047.10
7722,-352,-91,-983,1048.08,-351.25,-91.11,-982.43,1047.30
7822,-351,-90,-982,1046.72,-351.20,-90.89,-982.34,1047.18
7922,-351,-90,-983,1047.66,-351.16,-90.71,-982.47,1047.28
8022,-351,-91,-982,1046.81,-351.13,-90.77,-982.38,1047.18
8122,-351,-92,-982,1046.89,-351.10,-91.01,-982.30,1047.13
8222,-351,-91,-982,1046.81,-351.08,-91.01,-982.24,1047.06
8322,-350,-92,-982,1046.56,-350.87,-91.21,-982.19,1046.96
8422,-351,-91,-982,1046.81,-350.89,-91.17,-982.15,1046.93
8522,-351,-91,-982,1046.81,-350.91,-91.13,-982.12,1046.91
8622,-350,-90,-982,1046.39,-350.73,-90.91,-982.10,1046.80
8722,-352,-90,-983,1047.99,-350.99,-90.73,-982.28,1047.04
8822,-351,-92,-984,1048.77,-350.99,-90.98,-982.62,1047.39
8922,-352,-91,-982,1047.14,-351.19,-90.98,-982.50,1047.34
9022,-351,-90,-982,1046.72,-351.15,-90.79,-982.40,1047.21
9122,-351,-90,-981,1045.78,-351.12,-90.63,-982.12,1046.93
9222,-351,-91,-982,1046.81,-351.10,-90.70,-982.10,1046.90
9322,-350,-93,-981,1045.71,-350.88,-91.16,-981.88,1046.66
9422,-351,-91,-981,1045.87,-350.90,-91.13,-981.70,1046.51
9522,-349,-91,-983,1047.08,-350.52,-91.10,-981.96,1046.62
9622,-352,-90,-982,1047.06,-350.82,-90.88,-981.97,1046.71
9722,-351,-90,-983,1047.66,-350.85,-90.71,-982.18,1046.90
9822,-351,-91,-981,1045.87,-350.88,-90.77,-981.94,1046.69
9922,-351,-91,-983,1047.75,-350.91,-90.81,-982.15,1046.90
10022,-350,-91,-982,1046.47,-350.73,-90.85,-982.12,1046.82
10122,-352,-91,-982,1047.14,-350.98,-90.88,-982.10,1046.88
10222,-351,-92,-982,1046.89,-350.98,-91.10,-982.08,1046.88
10322,-350,-90,-982,1046.39,-350.79,-90.88,-982.06,1046.78
10422,-351,-91,-983,1047.75,-350.83,-90.91,-982.25,1046.98
10522,-351,-90,-981,1045.78,-350.86,-90.73,-982.00,1046.74
10622,-351,-90,-983,1047.66,-350.89,-90.58,-982.20,1046.92
10722,-351,-90,-981,1045.78,-350.91,-90.46,-981.96,1046.69
10822,-352,-90,-983,1047.99,-351.13,-90.37,-982.17,1046.95
10922,-352,-91,-983,1048.08,-351.30,-90.50,-982.33,1047.18
11022,-352,-90,-981,1046.12,-351.44,-90.40,-982.07,1046.97
11122,-352,-91,-983,1048.08,-351.55,-90.52,-982.25,1047.19
11222,-352,-92,-982,1047.23,-351.64,-90.81,-982.20,1047.20
11322,-351,-91,-982,1046.81,-351.52,-90.85,-982.16,1047.12
11422,-351,-91,-981,1045.87,-351.41,-90.88,-981.93,1046.87
11522,-351,-92,-981,1045.96,-351.33,-91.11,-981.74,1046.69
11622,-352,-91,-983,1048.08,-351.46,-91.08,-982.00,1046.97
11722,-352,-91,-983,1048.08,-351.57,-91.07,-982.20,1047.19
11822,-351,-91,-983,1047.75,-351.46,-91.05,-982.36,1047.30
11922,-350,-91,-981,1045.53,-351.17,-91.04,-982.09,1046.95
12022,-351,-91,-984,1048.68,-351.13,-91.03,-982.47,1047.29
12122,-351,-92,-981,1045.96,-351.11,-91.23,-982.17,1047.03
12222,-352,-91,-981,1046.21,-351.28,-91.18,-981.94,1046.86
12322,-351,-92,-981,1045.96,-351.23,-91.35,-981.75,1046.68
12422,-351,-91,-982,1046.81,-351.18,-91.28,-981.80,1046.71
12522,-351,-92,-983,1047.83,-351.15,-91.42,-982.04,1046.93
12622,-351,-91,-982,1046.81,-351.12,-91.34,-982.03,1046.91
12722,-351,-91,-982,1046.81,-351.09,-91.27,-982.03,1046.89
12822,-351,-91,-983,1047.75,-351.07,-91.22,-982.22,1047.06
12922,-350,-92,-982,1046.56,-350.86,-91.37,-982.18,1046.96
13022,-352,-91,-982,1047.14,-351.09,-91.30,-982.14,1047.00
13122,-350,-91,-981,1045.53,-350.87,-91.24,-981.91,1046.70
13222,-350,-91,-983,1047.41,-350.70,-91.19,-982.13,1046.84
13322,-352,-91,-982,1047.14,-350.96,-91.15,-982.10,1046.90
13422,-352,-91,-983,1048.08,-351.17,-91.12,-982.28,1047.14
13522,-351,-91,-982,1046.81,-351.13,-91.10,-982.23,1047.07
13622,-350,-91,-982,1046.47,-350.91,-91.08,-982.18,1046.95
13722,-351,-90,-983,1047.66,-350.92,-90.86,-982.35,1047.09
13822,-350,-92,-981,1045.62,-350.74,-91.09,-982.08,1046.80
13922,-351,-90,-983,1047.66,-350.79,-90.87,-982.26,1046.97
14022,-351,-90,-982,1046.72,-350.83,-90.70,-982.21,1046.92
14122,-350,-91,-983,1047.41,-350.67,-90.76,-982.37,1047.02
14222,-351,-92,-981,1045.96,-350.73,-91.01,-982.09,1046.81
14322,-350,-91,-981,1045.53,-350.59,-91.01,-981.87,1046.55
14422,-352,-91,-983,1048.08,-350.87,-91.00,-982.10,1046.86
14522,-351,-91,-982,1046.81,-350.90,-91.00,-982.08,1046.85
14622,-350,-92,-983,1047.50,-350.72,-91.20,-982.26,1046.98
14722,-351,-91,-981,1045.87,-350.77,-91.16,-982.01,1046.76
14822,-351,-91,-982,1046.81,-350.82,-91.13,-982.01,1046.77
14922,-351,-92,-982,1046.89,-350.85,-91.30,-982.01,1046.79
15022,-351,-91,-982,1046.81,-350.88,-91.24,-982.01,1046.80
15122,-351,-90,-982,1046.72,-350.91,-90.99,-982.00,1046.78
15222,-350,-91,-982,1046.47,-350.73,-91.00,-982.00,1046.72
15322,-350,-91,-981,1045.53,-350.58,-91.00,-981.80,1046.48
15422,-351,-91,-981,1045.87,-350.66,-91.00,-981.64,1046.36
15522,-350,-91,-981,1045.53,-350.53,-91.00,-981.51,1046.19
15622,-352,-91,-984,1049.02,-350.83,-91.00,-982.01,1046.76
15722,-352,-91,-981,1046.21,-351.06,-91.00,-981.81,1046.65
15822,-351,-90,-983,1047.66,-351.05,-90.80,-982.05,1046.85
15922,-351,-90,-981,1045.78,-351.04,-90.64,-981.84,1046.64
16022,-350,-91,-982,1046.47,-350.83,-90.71,-981.87,1046.60
16122,-351,-90,-982,1046.72,-350.86,-90.57,-981.90,1046.63
16222,-351,-91,-981,1045.87,-350.89,-90.66,-981.72,1046.48
16322,-351,-90,-981,1045.78,-350.91,-90.52,-981.57,1046.34
16422,-351,-90,-981,1045.78,-350.93,-90.42,-981.46,1046.23
16522,-351,-92,-983,1047.83,-350.94,-90.74,-981.77,1046.55
16622,-352,-93,-982,1047.32,-351.16,-91.19,-981.81,1046.70
16722,-351,-91,-982,1046.81,-351.12,-91.15,-981.85,1046.72
16822,-351,-90,-983,1047.66,-351.10,-90.92,-982.08,1046.91
16922,-351,-91,-981,1045.87,-351.08,-90.94,-981.86,1046.70
17022,-351,-91,-983,1047.75,-351.06,-90.95,-982.09,1046.91
17122,-350,-91,-982,1046.47,-350.85,-90.96,-982.07,1046.82
17222,-352,-91,-982,1047.14,-351.08,-90.97,-982.06,1046.89
17322,-351,-91,-981,1045.87,-351.06,-90.97,-981.85,1046.68
17422,-351,-91,-982,1046.81,-351.05,-90.98,-981.88,1046.71
17522,-350,-89,-982,1046.30,-350.84,-90.58,-981.90,1046.63
17622,-351,-91,-982,1046.81,-350.87,-90.67,-981.92,1046.66
17722,-350,-90,-984,1048.26,-350.70,-90.53,-982.34,1046.98
17822,-352,-90,-983,1047.99,-350.96,-90.43,-982.47,1047.18
17922,-351,-91,-982,1046.81,-350.97,-90.54,-982.38,1047.11
18022,-351,-91,-982,1046.81,-350.97,-90.63,-982.30,1047.05
18122,-351,-90,-982,1046.72,-350.98,-90.51,-982.24,1046.98
18222,-351,-90,-982,1046.72,-350.98,-90.41,-982.19,1046.93
18322,-350,-91,-981,1045.53,-350.79,-90.52,-981.95,1046.65
18422,-351,-90,-982,1046.72,-350.83,-90.42,-981.96,1046.67
18522,-352,-90,-982,1047.06,-351.06,-90.34,-981.97,1046.74
18622,-350,-90,-983,1047.32,-350.85,-90.27,-982.18,1046.86
18722,-350,-91,-981,1045.53,-350.68,-90.41,-981.94,1046.59
18822,-350,-91,-982,1046.47,-350.54,-90.53,-981.95,1046.57
18922,-352,-91,-984,1049.02,-350.84,-90.63,-982.36,1047.06
19022,-351,-91,-981,1045.87,-350.87,-90.70,-982.09,1046.82
19122,-351,-92,-983,1047.83,-350.89,-90.96,-982.27,1047.02
19222,-351,-90,-981,1045.78,-350.92,-90.77,-982.02,1046.78
19322,-351,-90,-983,1047.66,-350.93,-90.61,-982.21,1046.95
19422,-350,-92,-981,1045.62,-350.75,-90.89,-981.97,1046.69
19522,-351,-91,-982,1046.81,-350.80,-90.91,-981.98,1046.71
19622,-351,-91,-983,1047.75,-350.84,-90.93,-982.18,1046.92
19722,-350,-90,-983,1047.32,-350.67,-90.74,-982.35,1047.00
19822,-351,-91,-982,1046.81,-350.74,-90.80,-982.28,1046.96
19922,-352,-91,-981,1046.21,-350.99,-90.84,-982.02,1046.81
20022,-351,-92,-983,1047.83,-350.99,-91.07,-982.22,1047.01
20122,-352,-92,-981,1046.29,-351.19,-91.26,-981.97,1046.87
20222,-351,-90,-981,1045.78,-351.15,-91.00,-981.78,1046.65
20322,-351,-92,-982,1046.89,-351.12,-91.20,-981.82,1046.70
20422,-350,-91,-982,1046.47,-350.90,-91.16,-981.86,1046.66
20522,-351,-91,-983,1047.75,-350.92,-91.13,-982.09,1046.87
20622,-351,-89,-982,1046.64,-350.94,-90.70,-982.07,1046.83
20722,-352,-91,-982,1047.14,-351.15,-90.76,-982.06,1046.89
20822,-352,-91,-983,1048.08,-351.32,-90.81,-982.24,1047.13
20922,-351,-91,-982,1046.81,-351.25,-90.85,-982.20,1047.06
21022,-350,-91,-982,1046.47,-351.00,-90.88,-982.16,1046.95
21122,-351,-91,-982,1046.81,-351.00,-90.90,-982.13,1046.92
21222,-351,-91,-983,1047.75,-351.00,-90.92,-982.30,1047.08
21322,-350,-92,-982,1046.56,-350.80,-91.14,-982.24,1046.98
21422,-350,-91,-982,1046.47,-350.64,-91.11,-982.19,1046.88
21522,-351,-92,-983,1047.83,-350.71,-91.29,-982.35,1047.07
21622,-351,-90,-982,1046.72,-350.77,-91.03,-982.28,1047.00
21722,-350,-91,-983,1047.41,-350.62,-91.02,-982.43,1047.08
21822,-352,-91,-981,1046.21,-350.89,-91.02,-982.14,1046.91
21922,-352,-90,-982,1047.06,-351.11,-90.82,-982.11,1046.94
22022,-351,-91,-982,1046.81,-351.09,-90.85,-982.09,1046.91
22122,-352,-90,-982,1047.06,-351.27,-90.68,-982.07,1046.94
22222,-350,-92,-982,1046.56,-351.02,-90.95,-982.06,1046.86
22322,-351,-92,-981,1045.96,-351.01,-91.16,-981.85,1046.68
22422,-350,-90,-982,1046.39,-350.81,-90.93,-981.88,1046.62
22522,-351,-91,-982,1046.81,-350.85,-90.94,-981.90,1046.66
22622,-351,-91,-983,1047.75,-350.88,-90.95,-982.12,1046.88
22722,-351,-91,-982,1046.81,-350.90,-90.96,-982.10,1046.86
22822,-351,-92,-982,1046.89,-350.92,-91.17,-982.08,1046.87
22922,-352,-91,-983,1048.08,-351.14,-91.14,-982.26,1047.11
23022,-350,-91,-980,1044.60,-350.91,-91.11,-981.81,1046.61
23122,-350,-91,-983,1047.41,-350.73,-91.09,-982.05,1046.77
23222,-350,-90,-982,1046.39,-350.58,-90.87,-982.04,1046.69
23322,-351,-91,-982,1046.81,-350.67,-90.90,-982.03,1046.72
23422,-350,-91,-982,1046.47,-350.53,-90.92,-982.02,1046.67
23522,-350,-90,-982,1046.39,-350.43,-90.73,-982.02,1046.61
23622,-351,-92,-983,1047.83,-350.54,-90.99,-982.22,1046.85
23722,-351,-92,-982,1046.89,-350.63,-91.19,-982.17,1046.86
23822,-351,-90,-983,1047.66,-350.71,-90.95,-982.34,1047.02
23922,-351,-91,-982,1046.81,-350.77,-90.96,-982.27,1046.98
24022,-350,-91,-983,1047.41,-350.61,-90.97,-982.42,1047.07
24122,-350,-91,-982,1046.47,-350.49,-90.98,-982.33,1046.95
24222,-352,-90,-982,1047.06,-350.79,-90.78,-982.27,1046.97
24322,-350,-91,-983,1047.41,-350.63,-90.82,-982.41,1047.06
24422,-351,-91,-983,1047.75,-350.71,-90.86,-982.53,1047.19
24522,-352,-91,-982,1047.14,-350.97,-90.89,-982.42,1047.18
24622,-351,-90,-981,1045.78,-350.97,-90.71,-982.14,1046.90
24722,-351,-91,-982,1046.81,-350.98,-90.77,-982.11,1046.88
24822,-351,-91,-983,1047.75,-350.98,-90.81,-982.29,1047.06
24922,-351,-91,-982,1046.81,-350.99,-90.85,-982.23,1047.01
25022,-351,-91,-983,1047.75,-350.99,-90.88,-982.39,1047.15
25122,-352,-90,-980,1045.18,-351.19,-90.70,-981.91,1046.76
25222,-352,-90,-983,1047.99,-351.35,-90.56,-982.13,1047.01
25322,-349,-91,-982,1046.14,-350.88,-90.65,-982.10,1046.83
25422,-351,-90,-981,1045.78,-350.91,-90.52,-981.88,1046.62
25522,-351,-91,-982,1046.81,-350.92,-90.62,-981.90,1046.66
25622,-350,-91,-983,1047.41,-350.74,-90.69,-982.12,1046.81
25722,-352,-91,-983,1048.08,-350.99,-90.75,-982.30,1047.06
25822,-351,-91,-981,1045.87,-350.99,-90.80,-982.04,1046.83
25922,-351,-90,-982,1046.72,-350.99,-90.64,-982.03,1046.80
26022,-350,-90,-981,1045.45,-350.80,-90.51,-981.83,1046.53
26122,-351,-90,-981,1045.78,-350.84,-90.41,-981.66,1046.38
26222,-352,-91,-982,1047.14,-351.07,-90.53,-981.73,1046.53
26322,-351,-92,-981,1045.96,-351.06,-90.82,-981.58,1046.42
26422,-351,-90,-983,1047.66,-351.04,-90.66,-981.87,1046.67
26522,-350,-91,-981,1045.53,-350.84,-90.73,-981.69,1046.44
26622,-351,-90,-981,1045.78,-350.87,-90.58,-981.55,1046.31
26722,-350,-91,-981,1045.53,-350.69,-90.67,-981.44,1046.15
26822,-351,-92,-983,1047.83,-350.76,-90.93,-981.75,1046.49
26922,-351,-90,-983,1047.66,-350.80,-90.75,-982.00,1046.72
27022,-350,-91,-981,1045.53,-350.64,-90.80,-981.80,1046.49
27122,-351,-91,-983,1047.75,-350.72,-90.84,-982.04,1046.74
27222,-350,-91,-981,1045.53,-350.57,-90.87,-981.83,1046.50
27322,-350,-90,-983,1047.32,-350.46,-90.70,-982.07,1046.66
27422,-350,-90,-982,1046.39,-350.37,-90.56,-982.05,1046.61
27522,-352,-90,-982,1047.06,-350.69,-90.45,-982.04,1046.70
27622,-349,-91,-984,1048.02,-350.35,-90.56,-982.43,1046.96
27722,-351,-91,-981,1045.87,-350.48,-90.65,-982.15,1046.74
27822,-351,-90,-983,1047.66,-350.59,-90.52,-982.32,1046.93
27922,-351,-90,-982,1046.72,-350.67,-90.41,-982.25,1046.88
28022,-350,-91,-982,1046.47,-350.54,-90.53,-982.20,1046.80
28122,-351,-91,-983,1047.75,-350.63,-90.62,-982.36,1046.99
28222,-350,-92,-982,1046.56,-350.50,-90.90,-982.29,1046.90
28322,-352,-90,-983,1047.99,-350.80,-90.72,-982.43,1047.12
28422,-351,-91,-983,1047.75,-350.84,-90.78,-982.55,1047.25
28522,-351,-91,-982,1046.81,-350.87,-90.82,-982.44,1047.16
28622,-351,-91,-982,1046.81,-350.90,-90.86,-982.35,1047.09
28722,-351,-91,-982,1046.81,-350.92,-90.89,-982.28,1047.03
28822,-351,-92,-983,1047.83,-350.94,-91.11,-982.42,1047.19
28922,-351,-90,-982,1046.72,-350.95,-90.89,-982.34,1047.10
29022,-351,-91,-982,1046.81,-350.96,-90.91,-982.27,1047.04
29122,-351,-91,-981,1045.87,-350.97,-90.93,-982.02,1046.81
29222,-352,-91,-982,1047.14,-351.17,-90.94,-982.01,1046.87
29322,-351,-91,-983,1047.75,-351.14,-90.95,-982.21,1047.05
29422,-351,-90,-981,1045.78,-351.11,-90.76,-981.97,1046.79
29522,-349,-92,-983,1047.16,-350.69,-91.01,-982.17,1046.87
29622,-351,-91,-982,1046.81,-350.75,-91.01,-982.14,1046.86
29722,-351,-91,-983,1047.75,-350.80,-91.01,-982.31,1047.03
29822,-351,-92,-982,1046.89,-350.84,-91.21,-982.25,1047.01
29922,-351,-91,-983,1047.75,-350.87,-91.16,-982.40,1047.15
30022,-351,-91,-983,1047.75,-350.90,-91.13,-982.52,1047.27
30122,-351,-91,-982,1046.81,-350.92,-91.11,-982.42,1047.18
30222,-351,-91,-983,1047.75,-350.93,-91.08,-982.53,1047.29
30322,-350,-91,-982,1046.47,-350.75,-91.07,-982.43,1047.13
30422,-351,-92,-983,1047.83,-350.80,-91.25,-982.54,1047.27
30522,-351,-90,-983,1047.66,-350.84,-91.00,-982.63,1047.35
30622,-350,-90,-983,1047.32,-350.67,-90.80,-982.71,1047.34
30722,-351,-91,-983,1047.75,-350.74,-90.84,-982.76,1047.42
30822,-350,-91,-981,1045.53,-350.59,-90.87,-982.41,1047.05
30922,-351,-90,-983,1047.66,-350.67,-90.70,-982.53,1047.17
