t_ms,bx_uT,by_uT,bz_uT,B_uT,fx_uT,fy_uT,fz_uT,Bf_uT,heading_deg
1733,-29.45,6.70,-83.94,89.21,-29.45,6.70,-83.94,89.21,167.2
1833,-31.19,4.13,-82.66,88.45,-29.80,6.18,-83.69,89.05,168.3
1933,-30.73,3.30,-81.93,87.56,-29.99,5.61,-83.34,88.74,169.4
2033,-30.55,0.46,-81.93,87.44,-30.10,4.58,-83.05,88.46,171.4
2133,-29.45,0.00,-81.28,86.45,-29.97,3.66,-82.70,88.04,173.0
2233,-30.37,0.09,-80.92,86.43,-30.05,2.95,-82.34,87.70,174.4
2333,-31.19,-0.09,-81.28,87.06,-30.28,2.34,-82.13,87.57,175.6
2433,-33.85,2.02,-81.28,88.08,-30.99,2.28,-81.96,87.66,175.8
2533,-34.68,1.19,-81.83,88.89,-31.73,2.06,-81.94,87.89,176.3
2633,-35.32,1.28,-82.20,89.48,-32.45,1.90,-81.99,88.20,176.6
2733,-35.23,2.20,-81.56,88.87,-33.00,1.96,-81.90,88.33,176.6
2833,-36.88,3.03,-81.93,89.90,-33.78,2.18,-81.91,88.63,176.3
2933,-37.61,3.21,-82.11,90.37,-34.55,2.38,-81.95,88.96,176.1
3033,-40.37,4.95,-81.93,91.47,-35.71,2.90,-81.94,89.43,175.4
3133,-40.83,4.31,-82.20,91.88,-36.73,3.18,-82.00,89.90,175.1
3233,-38.44,3.85,-81.28,90.00,-37.07,3.31,-81.85,89.92,174.9
3333,-38.07,-0.18,-82.75,91.09,-37.27,2.62,-82.03,90.14,176.0
3433,-35.23,-2.39,-82.66,89.89,-36.87,1.62,-82.16,90.07,177.5
3533,-33.67,-3.58,-82.48,89.16,-36.23,0.58,-82.22,89.85,179.1
3633,-34.04,-2.11,-82.29,89.08,-35.79,0.04,-82.24,89.69,179.9
3733,-31.01,-1.74,-80.73,86.50,-34.83,-0.32,-81.94,89.03,180.5
3833,-30.00,-1.74,-80.37,85.80,-33.87,-0.60,-81.62,88.37,181.0
3933,-27.61,0.64,-77.98,82.73,-32.62,-0.35,-80.89,87.22,180.6
4033,-24.31,0.64,-75.96,79.76,-30.96,-0.15,-79.91,85.69,180.3
4133,-17.89,2.11,-69.45,71.75,-28.34,0.30,-77.82,82.82,179.4
4233,-13.76,3.58,-63.67,65.24,-25.43,0.95,-74.99,79.19,177.9
4333,-8.53,1.93,-55.87,56.55,-22.05,1.15,-71.16,74.51,177.0
